#time   energy normalisedChange momentum normalisedChange   
# 0 3.70164e+07 3.70164e+07  800000 0 0   461880 -0.57735 -0.57735
0 3.70164e+07 0  800000 0 0   0 0 0
1000 3.70164e+07 -4.93327e-08  800000 9.43067e-09 0   -7.21903e-10 1.17883e-14 0
2000 3.70164e+07 -9.73437e-08  800000 -4.37575e-09 0   -5.0726e-09 -5.46969e-15 0
3000 3.70164e+07 -1.40255e-07  800000 -1.24541e-07 0   -1.62205e-08 -1.55676e-13 0
4000 3.70164e+07 -1.72997e-07  800000 -3.92818e-07 0   -3.71639e-08 -4.91023e-13 0
5000 3.70164e+07 -1.87917e-07  800000 -7.7838e-07 0   -6.96717e-08 -9.72975e-13 0
6000 3.70164e+07 -1.73778e-07  800000 -1.2016e-06 0   -1.13582e-07 -1.502e-12 0
7000 3.70164e+07 -1.15412e-07  800000 -1.58754e-06 0   -1.66551e-07 -1.98442e-12 0
8000 3.70164e+07 5.83549e-09  800000 -1.90719e-06 0   -2.24215e-07 -2.38399e-12 0
9000 3.70164e+07 2.10986e-07  800000 -2.18077e-06 0   -2.8066e-07 -2.72596e-12 0
10000 3.70164e+07 5.21838e-07  800000 -2.44724e-06 0   -3.29099e-07 -3.05905e-12 0
11000 3.70164e+07 9.59159e-07  800000 -2.72624e-06 0   -3.62633e-07 -3.4078e-12 0
12000 3.70165e+07 1.54092e-06  800000 -2.9993e-06 0   -3.75e-07 -3.74912e-12 0
13000 3.70165e+07 2.28086e-06  800000 -3.22091e-06 0   -3.612e-07 -4.02613e-12 0
14000 3.70165e+07 3.18753e-06  800000 -3.34915e-06 0   -3.17911e-07 -4.18643e-12 0
15000 3.70166e+07 4.26403e-06  800000 -3.37479e-06 0   -2.43629e-07 -4.21849e-12 0
16000 3.70166e+07 5.50837e-06  800000 -3.33109e-06 0   -1.38544e-07 -4.16386e-12 0
17000 3.70166e+07 6.91432e-06  800000 -3.28007e-06 0   -4.21398e-09 -4.10008e-12 0
18000 3.70167e+07 8.47259e-06  800000 -3.28504e-06 0   1.56876e-07 -4.1063e-12 0
19000 3.70168e+07 1.01719e-05  800000 -3.38544e-06 0   3.41727e-07 -4.2318e-12 0
20000 3.70168e+07 1.20002e-05  800000 -3.58613e-06 0   5.47162e-07 -4.48266e-12 0
21000 3.70169e+07 1.39449e-05  800001 -3.86398e-06 0   7.70013e-07 -4.82998e-12 0
22000 3.7017e+07 1.59935e-05  800001 -4.18487e-06 0   1.00718e-06 -5.23109e-12 0
23000 3.70171e+07 1.81334e-05  800001 -4.52056e-06 0   1.25561e-06 -5.6507e-12 0
24000 3.70171e+07 2.0352e-05  800001 -4.85742e-06 0   1.51219e-06 -6.07178e-12 0
25000 3.70172e+07 2.26362e-05  800001 -5.19501e-06 0   1.77374e-06 -6.49376e-12 0
26000 3.70173e+07 2.4973e-05  800002 -5.53851e-06 0   2.03694e-06 -6.92314e-12 0
27000 3.70174e+07 2.73485e-05  800002 -5.89083e-06 0   2.29836e-06 -7.36353e-12 0
28000 3.70175e+07 2.9749e-05  800002 -6.24871e-06 0   2.55454e-06 -7.81089e-12 0
29000 3.70176e+07 3.21607e-05  800002 -6.60411e-06 0   2.802e-06 -8.25514e-12 0
30000 3.70177e+07 3.457e-05  800002 -6.94826e-06 0   3.03737e-06 -8.68532e-12 0
31000 3.70178e+07 3.69638e-05  800003 -7.27545e-06 0   3.25739e-06 -9.09431e-12 0
32000 3.70178e+07 3.93295e-05  800003 -7.58422e-06 0   3.459e-06 -9.48028e-12 0
33000 3.70179e+07 4.16554e-05  800003 -7.87603e-06 0   3.63937e-06 -9.84504e-12 0
34000 3.7018e+07 4.39305e-05  800003 -8.15285e-06 0   3.79589e-06 -1.01911e-11 0
35000 3.70181e+07 4.61447e-05  800003 -8.41528e-06 0   3.92621e-06 -1.05191e-11 0
36000 3.70182e+07 4.82888e-05  800003 -8.66235e-06 0   4.02822e-06 -1.08279e-11 0
37000 3.70183e+07 5.03545e-05  800003 -8.8928e-06 0   4.10005e-06 -1.1116e-11 0
38000 3.70183e+07 5.23344e-05  800003 -9.10643e-06 0   4.14012e-06 -1.1383e-11 0
39000 3.70184e+07 5.4222e-05  800003 -9.30494e-06 0   4.14705e-06 -1.16312e-11 0
40000 3.70185e+07 5.60118e-05  800003 -9.49156e-06 0   4.11977e-06 -1.18645e-11 0
41000 3.70185e+07 5.76991e-05  800003 -9.66992e-06 0   4.05741e-06 -1.20874e-11 0
42000 3.70186e+07 5.92801e-05  800003 -9.84285e-06 0   3.95939e-06 -1.23036e-11 0
43000 3.70186e+07 6.07521e-05  800003 -1.00117e-05 0   3.82531e-06 -1.25147e-11 0
44000 3.70187e+07 6.21128e-05  800003 -1.01767e-05 0   3.65502e-06 -1.27209e-11 0
45000 3.70187e+07 6.33609e-05  800003 -1.03373e-05 0   3.44855e-06 -1.29216e-11 0
46000 3.70188e+07 6.44958e-05  800003 -1.04933e-05 0   3.20612e-06 -1.31166e-11 0
47000 3.70188e+07 6.55175e-05  800002 -1.06449e-05 0   2.92811e-06 -1.33061e-11 0
48000 3.70189e+07 6.64264e-05  800002 -1.07928e-05 0   2.615e-06 -1.3491e-11 0
49000 3.70189e+07 6.72237e-05  800002 -1.09376e-05 0   2.26743e-06 -1.3672e-11 0
50000 3.70189e+07 6.79107e-05  800002 -1.10796e-05 0   1.8861e-06 -1.38496e-11 0
51000 3.70189e+07 6.84893e-05  800001 -1.12188e-05 0   1.47178e-06 -1.40235e-11 0
52000 3.70189e+07 6.89616e-05  800001 -1.13546e-05 0   1.02532e-06 -1.41933e-11 0
53000 3.7019e+07 6.93298e-05  800000 -1.14866e-05 0   5.47575e-07 -1.43582e-11 0
54000 3.7019e+07 6.95967e-05  800000 -1.16143e-05 0   3.94072e-08 -1.45178e-11 0
55000 3.7019e+07 6.97646e-05  800000 -1.17377e-05 0   -4.9832e-07 -1.46721e-11 0
56000 3.7019e+07 6.98363e-05  799999 -1.1857e-05 0   -1.06477e-06 -1.48213e-11 0
57000 3.7019e+07 6.98145e-05  799999 -1.19726e-05 0   -1.65917e-06 -1.49657e-11 0
58000 3.7019e+07 6.97017e-05  799998 -1.20844e-05 0   -2.28078e-06 -1.51055e-11 0
59000 3.7019e+07 6.95006e-05  799998 -1.21926e-05 0   -2.92898e-06 -1.52408e-11 0
60000 3.7019e+07 6.92134e-05  799997 -1.22972e-05 0   -3.60321e-06 -1.53714e-11 0
61000 3.70189e+07 6.88425e-05  799997 -1.23979e-05 0   -4.30303e-06 -1.54974e-11 0
62000 3.70189e+07 6.83898e-05  799996 -1.2495e-05 0   -5.02812e-06 -1.56187e-11 0
63000 3.70189e+07 6.78573e-05  799995 -1.25884e-05 0   -5.77828e-06 -1.57355e-11 0
64000 3.70189e+07 6.72465e-05  799995 -1.26784e-05 0   -6.55346e-06 -1.5848e-11 0
65000 3.70189e+07 6.65587e-05  799994 -1.27652e-05 0   -7.35373e-06 -1.59565e-11 0
66000 3.70188e+07 6.57949e-05  799993 -1.28488e-05 0   -8.17935e-06 -1.60609e-11 0
67000 3.70188e+07 6.49561e-05  799993 -1.29292e-05 0   -9.03073e-06 -1.61615e-11 0
68000 3.70188e+07 6.40424e-05  799992 -1.30066e-05 0   -9.90848e-06 -1.62582e-11 0
69000 3.70187e+07 6.3054e-05  799991 -1.30812e-05 0   -1.08134e-05 -1.63515e-11 0
70000 3.70187e+07 6.19907e-05  799991 -1.31531e-05 0   -1.17464e-05 -1.64413e-11 0
71000 3.70186e+07 6.08516e-05  799990 -1.32224e-05 0   -1.27088e-05 -1.6528e-11 0
72000 3.70186e+07 5.96359e-05  799989 -1.32893e-05 0   -1.3702e-05 -1.66117e-11 0
73000 3.70186e+07 5.83419e-05  799988 -1.3354e-05 0   -1.47275e-05 -1.66925e-11 0
74000 3.70185e+07 5.69679e-05  799987 -1.34165e-05 0   -1.57873e-05 -1.67706e-11 0
75000 3.70184e+07 5.55115e-05  799986 -1.3477e-05 0   -1.68835e-05 -1.68463e-11 0
